cloneId	symbol	pDNA.p0.10025	pDNA.p0.10025_10056	pDNA.p0.110625	pDNA.p0.110709	pDNA.p0.110709_10056	pDNA.p0.54_10051	HPAFII_PANCREAS.p5.A	HPAFII_PANCREAS.p5.B	HPAFII_PANCREAS.p5.C	HPAFII_PANCREAS.p5.D
TRCN0000005215	LRRC32	11	11	11	12	12	12	11	17	12	134
TRCN0000005217	LRRC32	16	17	21	20	18	19	26	7	6	9
TRCN0000005244	MYO7A	15	17	14	13	14	17	11	14	23	17
TRCN0000005246	MYO7A	18	19	15	21	21	19	39	31	12	23
TRCN0000005286	SLC15A2	15	15	8	10	15	18	66	24	45	52
TRCN0000005312	WDHD1	18	18	13	18	16	20	31	30	13	35
TRCN0000005376	ESCO1	25	25	19	21	24	28	11	35	9	10
TRCN0000005415	C18orf45	14	15	13	14	13	14	21	37	27	15
TRCN0000005436	ANKRD29	9	9	16	9	9	9	1	1	10	4
TRCN0000005447	LRFN1	6	5	3	5	6	5	3	1	5	4
TRCN0000005451	SAMD4B	9	10	11	10	10	10	2	1	1	2
TRCN0000005452	SAMD4B	7	8	8	9	10	10	1	2	2	2
TRCN0000005456	PAF1	5	8	8	7	6	4	6	36	17	5
TRCN0000005480	T	28	31	19	33	30	35	22	11	34	11
TRCN0000005501	SOCS6	21	24	35	24	24	25	10	89	36	40
TRCN0000005529	COBL	13	14	15	15	15	17	7	8	14	16
TRCN0000005551	AIF1L	14	14	10	15	13	17	1	3	3	2
TRCN0000005570	DCPS	20	19	21	22	21	22	2	1	3	1
TRCN0000005574	ST3GAL4	20	16	3	3	17	23	5	9	53	22
TRCN0000005586	NCRNA00288	12	12	14	15	14	15	2	1	1	1
TRCN0000005605	CREBL2	22	21	18	22	20	21	5	3	1	5
TRCN0000005606	CREBL2	12	12	15	13	12	14	13	24	28	6
TRCN0000005633	GPRC5D	6	7	6	6	6	7	10	10	3	1
TRCN0000005648	C1orf56	12	11	10	12	12	13	5	5	3	3
TRCN0000005650	CDC42SE1	17	14	12	12	15	14	7	12	12	7
TRCN0000005660	GABPB2	17	19	19	20	20	19	41	30	20	29
TRCN0000005663	SEMA6C	20	19	16	21	21	23	13	31	31	20
TRCN0000005717	TUFT1	14	14	13	12	14	15	11	6	24	13
TRCN0000005785	ATP2B4	9	8	6	8	8	12	6	14	31	23
TRCN0000005835	IFNA16	13	14	11	11	12	14	10	15	28	10
TRCN0000005846	IFNA5	13	13	14	13	12	13	34	7	16	5
TRCN0000005873	IFNA1	14	16	12	13	13	15	2	3	2	2
TRCN0000005927	TNFSF10	6	6	7	7	6	7	23	4	10	19
TRCN0000005934	TNFRSF10A	23	22	29	22	22	28	10	7	5	5
TRCN0000005942	SOD2	15	15	19	16	14	15	7	3	5	1
TRCN0000005967	TASP1	26	25	28	31	26	27	22	12	10	15
TRCN0000005971	FLCN	18	20	19	20	17	16	32	42	75	33
TRCN0000220609	PIP4K2A	11	9	8	10	8	11	11	9	11	6
TRCN0000006068	GTF2H1	10	11	6	11	9	11	5	26	15	12
