cloneId	geneSymbol	T0_A	T0_B	T0_C	T16_A	T16_B	T16_C
TRCN0000003707	DFFB	15	14	16	96	28	100
TRCN0000003708	DFFB	9	9	5	3	1	3
TRCN0000035029	DIMT1L	18	20	18	39	32	48
TRCN0000035030	DIMT1L	34	37	29	22	28	27
TRCN0000035031	DIMT1L	17	17	14	6	9	12
TRCN0000035033	DIMT1L	11	11	17	13	5	10
TRCN0000001097	DNM1L	11	12	12	1	1	1
TRCN0000001099	DNM1L	15	14	16	3	1	1
TRCN0000036020	DPAGT1	12	14	10	5	3	5
TRCN0000036021	DPAGT1	12	12	15	6	14	17
TRCN0000036022	DPAGT1	11	12	8	8	24	35
TRCN0000036023	DPAGT1	15	17	9	2	1	4
TRCN0000054200	DTNB	19	19	15	5	36	27
TRCN0000054201	DTNB	49	54	50	25	27	36
TRCN0000004559	DTX2	14	12	19	7	9	7
TRCN0000004560	DTX2	18	12	23	3	4	4
TRCN0000004561	DTX2	15	15	12	46	46	53
TRCN0000002741	ENPP7	19	21	27	2	4	2
TRCN0000002744	ENPP7	12	11	18	23	4	20
TRCN0000059068	ERBB2IP	10	10	8	2	2	1
TRCN0000059070	ERBB2IP	11	12	15	5	12	1
TRCN0000059071	ERBB2IP	28	27	25	94	1	1
TRCN0000059072	ERBB2IP	11	11	19	2	1	1
TRCN0000074303	EXOC3	14	16	19	19	29	85
TRCN0000074304	EXOC3	17	17	15	2	1	4
TRCN0000074305	EXOC3	18	18	14	4	17	10
TRCN0000074306	EXOC3	19	18	19	65	19	11
TRCN0000074307	EXOC3	13	10	14	5	5	17
TRCN0000059643	FABP1	22	25	33	67	49	141
TRCN0000059644	FABP1	11	10	10	309	22	10
TRCN0000059647	FABP1	11	11	7	9	25	27
TRCN0000082858	FANCG	13	11	24	2	5	4
TRCN0000082860	FANCG	18	18	21	36	20	14
TRCN0000082861	FANCG	30	32	28	13	6	7
TRCN0000082862	FANCG	18	20	22	1	1	1
TRCN0000050768	FBP2	20	19	6	3	1	2
TRCN0000050769	FBP2	14	15	16	159	99	106
TRCN0000050770	FBP2	9	9	10	6	3	3
TRCN0000050771	FBP2	17	18	14	94	40	39
TRCN0000050772	FBP2	21	23	25	33	15	23
TRCN0000004281	FBXL3	11	11	12	1	2	8
TRCN0000004282	FBXL3	19	19	8	49	18	46
TRCN0000004283	FBXL3	17	16	17	33	28	32
TRCN0000004284	FBXL3	14	14	12	61	42	68
TRCN0000004285	FBXL3	11	11	8	1	4	4
TRCN0000058668	FGF21	13	9	16	6	20	13
TRCN0000058671	FGF21	8	8	7	1	1	1
TRCN0000083763	FGG	47	51	36	165	107	248
TRCN0000083764	FGG	49	49	49	23	52	27
TRCN0000083765	FGG	44	45	44	47	11	22
TRCN0000083766	FGG	29	24	6	14	23	17
TRCN0000083767	FGG	8	9	7	12	48	15
TRCN0000074418	FIP1L1	26	27	13	1	1	1
TRCN0000074419	FIP1L1	23	24	18	12	9	33
